행정구역(시군구)별,성별,연령별,인구 (명)
 광진구,여자,25 - 29세,18619.5
 광진구,여자,30 - 34세,14783.5
 광진구,여자,35 - 39세,13788.5
 광진구,여자,40 - 44세,12501
 광진구,여자,45 - 49세,14181.5
 광진구,여자,50 - 54세,14252
 광진구,여자,55 - 59세,13439
 광진구,여자,60 - 64세,12577.5
 광진구,여자,65 - 69세,8608
 광진구,여자,70 - 74세,6581
 광진구,여자,75 - 79세,5049.5
 광진구,여자,80세 이상,5922
 광진구,여자,80 - 84세,3392.5
 광진구,여자,85세 이상,2529.5
 광진구,여자,85 - 89세,1696.5
 광진구,여자,90 - 94세,637
 광진구,여자,95 - 99세,162.5
 광진구,여자,100세 이상,33.5
 동대문구,계,계,337801
 동대문구,계,0 - 4세,9989.5
 동대문구,계,5 - 9세,11437
 동대문구,계,10 - 14세,11100
 동대문구,계,15 - 19세,13225
 동대문구,계,20 - 24세,25595
 동대문구,계,25 - 29세,29694
 동대문구,계,30 - 34세,24183.5
 동대문구,계,35 - 39세,26077.5
 동대문구,계,40 - 44세,24009.5
 동대문구,계,45 - 49세,26402.5
 동대문구,계,50 - 54세,26376
 동대문구,계,55 - 59세,26082
 동대문구,계,60 - 64세,25501.5
 동대문구,계,65 - 69세,18788.5
 동대문구,계,70 - 74세,15061.5
 동대문구,계,75 - 79세,12222
 동대문구,계,80세 이상,12056
 동대문구,계,80 - 84세,7391
 동대문구,계,85세 이상,4665
 동대문구,계,85 - 89세,3317.5
 동대문구,계,90 - 94세,1045.5
 동대문구,계,95 - 99세,263
 동대문구,계,100세 이상,39
 동대문구,남자,계,167564
 동대문구,남자,0 - 4세,5116
 동대문구,남자,5 - 9세,5887
 동대문구,남자,10 - 14세,5681
 동대문구,남자,15 - 19세,6639
 동대문구,남자,20 - 24세,12007.5
 동대문구,남자,25 - 29세,15684.5
 동대문구,남자,30 - 34세,12561.5
 동대문구,남자,35 - 39세,13439.5
 동대문구,남자,40 - 44세,12425.5
 동대문구,남자,45 - 49세,13548.5
 동대문구,남자,50 - 54세,13324
 동대문구,남자,55 - 59세,12985
 동대문구,남자,60 - 64세,12405
 동대문구,남자,65 - 69세,8978.5
 동대문구,남자,70 - 74세,6904
 동대문구,남자,75 - 79세,5420.5
 동대문구,남자,80세 이상,4557
 동대문구,남자,80 - 84세,3064
 동대문구,남자,85세 이상,1493
 동대문구,남자,85 - 89세,1130
 동대문구,남자,90 - 94세,285
 동대문구,남자,95 - 99세,70.5
 동대문구,남자,100세 이상,7.5
 동대문구,여자,계,170237
 동대문구,여자,0 - 4세,4873.5
 동대문구,여자,5 - 9세,5550
 동대문구,여자,10 - 14세,5419
 동대문구,여자,15 - 19세,6586
 동대문구,여자,20 - 24세,13587.5
 동대문구,여자,25 - 29세,14009.5
 동대문구,여자,30 - 34세,11622
 동대문구,여자,35 - 39세,12638
 동대문구,여자,40 - 44세,11584
 동대문구,여자,45 - 49세,12854
 동대문구,여자,50 - 54세,13052
 동대문구,여자,55 - 59세,13097
 동대문구,여자,60 - 64세,13096.5
 동대문구,여자,65 - 69세,9810
 동대문구,여자,70 - 74세,8157.5
 동대문구,여자,75 - 79세,6801.5
 동대문구,여자,80세 이상,7499
 동대문구,여자,80 - 84세,4327
 동대문구,여자,85세 이상,3172
 동대문구,여자,85 - 89세,2187.5
